RFGC,FGC(E),m_FGC(E),PGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s,GLON,GLAT,PA,---,aO,bO,aE,bE,Btot,AB,MType,As,SB,N,Notes
3046,1957,--,--,15,49,33.6,+,17,43,37,15,47,17.8,+,17,52,41,29.62,48.0,5,3046,1.21,0.11,1.01,0.11,16.5,0.17,cd,0,III,3,--
3047,1226,E,--,15,49,52.7,-,21,22,52,15,46,57.0,-,21,13,47,349.15,25.07,40,3047,0.74,0.09,0.61,0.1,17.0,1.18,c,0,II,0,Curved arms
3048,1960,--,--,15,50,1.7,+,41,37,36,15,48,18.0,+,41,46,37,66.51,50.91,40,3048,0.76,0.1,0.72,0.1,16.8,0.07,cd,0,II,0,--
3049,1958,--,56154,15,50,2.4,-,2,49,23,15,47,25.9,-,2,40,20,5.28,37.58,107,3049,1.79,0.24,1.66,0.24,15.5,1.52,c,1,III,0,Differ.shape on E and O prs
3050,1961,--,--,15,50,21.6,+,48,27,14,15,48,51.4,+,48,36,14,76.96,49.52,93,3050,0.72,0.09,0.78,0.1,16.8,0.09,cd,1,II,0,Slightly arched
3051,1962,--,--,15,51,7.2,+,50,22,30,15,49,41.7,+,50,31,27,79.73,48.86,82,3051,0.77,0.09,0.8,0.1,16.8,0.07,c,0,II,3,--
3052,1963,--,--,15,51,9.6,+,52,40,52,15,49,50.1,+,52,49,49,83.03,48.13,119,3052,0.74,0.09,0.74,0.09,17.0,0.05,d,1,III,0,--
3053,1964,--,--,15,53,14.2,+,27,10,22,15,51,9.7,+,27,19,13,43.81,49.79,49,3053,0.84,0.1,0.75,0.1,16.9,0.15,c,1,III,2,Jet along minor axis
3054,1966,--,--,15,53,41.8,+,45,24,25,15,52,5.6,+,45,33,12,72.19,49.66,156,3054,1.04,0.09,0.91,0.09,16.6,0.07,d,1,II,1,--
3055,1228,E,--,15,53,57.5,-,19,7,1,15,51,4.1,-,18,58,12,351.66,26.02,48,3055,0.89,0.09,0.73,0.1,17.0,0.88,bc,1,III,1,Contrast nucleus
3056,1965,--,--,15,54,15.4,+,10,58,11,15,51,52.8,+,11,6,58,21.41,44.18,171,3056,0.64,0.09,0.66,0.1,16.9,0.23,cd,0,II,4,--
3057,1967,--,--,15,54,43.4,+,4,31,1,15,52,14.4,+,4,39,46,13.89,40.86,122,3057,1.1,0.11,0.93,0.12,16.4,0.29,cd,1,II,0,--
3058,1227,E,--,15,54,48.6,-,71,3,45,15,49,30.3,-,70,54,54,316.77,-13.3,31,3058,1.08,0.12,0.89,0.12,16.6,0.47,bc,0,III,0,Dust lane. Star projected
3059,1968,--,--,15,55,2.4,+,10,56,13,15,52,39.6,+,11,4,57,21.49,44.0,173,3059,0.88,0.11,0.94,0.16,16.5,0.23,bc,0,II,5,Companion at 1.5 N
3060,1969,--,--,15,55,23.5,+,31,30,27,15,53,24.8,+,31,39,9,50.57,49.95,14,3060,0.83,0.11,0.67,0.11,16.7,0.1,c,2,II,1,On E pr.- only half of gal.
3061,1229,E,--,15,55,31.8,-,20,4,31,15,52,37.3,-,19,55,48,351.2,25.08,168,3061,0.63,0.07,0.54,0.08,17.4,0.95,d,0,III,0,--
3062,1970,--,56400,15,55,45.6,+,24,29,38,15,53,37.8,+,24,38,19,39.99,48.66,75,3062,1.12,0.11,1.0,0.12,16.4,0.23,c,0,II,2,--
3063,1230,E,--,15,57,50.4,-,22,29,38,15,54,53.0,-,22,21,4,349.75,22.99,109,3063,1.59,0.16,1.56,0.16,15.8,0.94,bc,0,II,0,Dust lane
3064,1971,--,56526,15,58,13.7,+,13,10,19,15,55,53.5,+,13,18,51,24.76,44.29,37,3064,2.07,0.19,1.85,0.19,15.7,0.19,c,0,IV,0,"""Malin1""-type.V.sharp red nucl."
3065,1972,--,--,15,58,19.2,+,41,14,42,15,56,35.9,+,41,23,12,65.65,49.41,47,3065,0.91,0.09,0.67,0.1,17.0,0.06,d,0,III,0,Blue
3066,1973,--,56586,15,59,25.0,+,53,16,30,15,58,8.8,+,53,24,56,83.27,46.76,97,3066,0.8,0.11,0.8,0.12,16.6,0.05,bc,0,II,1,--
3067,1974,--,--,16,0,18.0,+,24,26,10,15,58,10.5,+,24,34,34,40.28,47.65,127,3067,0.87,0.12,0.81,0.15,16.7,0.28,bc,1,III,1,Jet to gal.at 1.5 NW
3068,1976,--,--,16,1,12.0,+,19,32,53,15,58,58.8,+,19,41,13,33.52,46.04,91,3068,0.75,0.09,0.72,0.09,16.9,0.15,cd,2,II,3,--
3069,1975,--,56689,16,1,14.2,+,14,4,43,15,58,55.0,+,14,13,4,26.34,44.0,108,3069,1.25,0.11,1.14,0.13,16.5,0.22,c,1,III,0,--
3070,1233,E,--,16,1,36.1,-,22,50,31,15,58,38.0,-,22,42,11,350.15,22.13,151,3070,0.83,0.08,0.48,0.09,17.4,0.98,c,0,III,0,Star projected
3071,1231,E,56729,16,1,40.1,-,76,5,13,15,55,14.8,-,75,56,46,313.64,-17.35,33,3071,0.63,0.09,0.61,0.12,17.0,0.3,d,0,II,0,Different brightness of arms
3072,1977,--,--,16,1,47.5,+,13,49,21,15,59,28.2,+,13,57,40,26.09,43.77,145,3072,0.78,0.1,0.76,0.12,16.8,0.19,bc,2,II,0,--
3073,1978,--,--,16,2,4.8,+,18,38,56,15,59,50.8,+,18,47,14,32.41,45.54,74,3073,0.78,0.11,0.58,0.09,17.1,0.27,d,1,IV,1,Blue condensation
3074,1234,E,--,16,2,4.9,-,22,14,35,15,59,7.5,-,22,6,16,350.7,22.47,43,3074,0.7,0.07,0.54,0.09,17.3,0.95,c,0,II,0,--
3075,1987,--,56836,16,2,59.8,+,77,36,24,16,4,53.2,+,77,44,30,111.72,34.99,138,3075,1.66,0.19,1.51,0.2,15.6,0.19,bc,0,II,4,--
3076,1236,E,56859,16,3,19.4,-,23,31,8,16,0,20.5,-,23,22,54,349.93,21.37,64,3076,1.34,0.07,1.42,0.09,16.7,0.72,c,0,III,2,Curved. Interacting. In group
3077,1988,--,--,16,3,31.2,+,77,31,33,16,5,23.4,+,77,39,37,111.62,35.02,1,3077,0.77,0.06,0.67,0.07,17.3,0.19,cd,0,II,3,--
3078,1979,--,--,16,3,33.6,-,3,39,30,16,0,56.0,-,3,31,18,6.98,34.39,62,3078,0.8,0.08,0.81,0.09,17.0,1.01,cd,0,III,0,--
3079,1235,E,56891,16,3,49.7,-,60,58,41,15,59,31.5,-,60,50,26,324.23,-6.34,133,3079,2.8,0.2,2.76,0.21,15.2,1.35,cd,0,III,0,Star projected. Diffuse
3080,1980,--,--,16,3,58.1,+,40,2,1,16,2,13.3,+,40,10,10,63.7,48.43,127,3080,0.95,0.09,1.0,0.1,16.8,0.06,cd,0,III,1,Pair of galaxies at 3.0 S
3081,1985,--,56917,16,4,3.8,+,63,42,46,16,3,28.5,+,63,50,53,96.48,42.2,49,3081,1.9,0.17,1.79,0.18,15.7,0.08,d,2,III,0,--
3082,1982,--,--,16,4,9.6,+,42,53,20,16,2,30.0,+,43,1,29,67.97,48.17,60,3082,1.1,0.1,1.1,0.11,16.4,0.05,cd,0,II,0,--
3083,1981,--,--,16,4,17.5,+,37,24,52,16,2,28.4,+,37,33,0,59.75,48.42,93,3083,0.71,0.09,0.59,0.1,17.2,0.06,c,0,III,1,Distant
3084,1983,--,--,16,4,58.8,+,8,27,13,16,2,33.8,+,8,35,19,20.08,40.67,166,3084,0.73,0.1,0.54,0.1,16.9,0.24,dm,0,II,1,Bright compan. at 3.0 NW
3085,1984,--,57018,16,5,2.2,+,13,42,7,16,2,42.6,+,13,50,13,26.39,43.01,66,3085,1.76,0.17,1.56,0.21,15.5,0.22,bc,0,I,2,--
3086,1232,E,--,16,5,40.9,-,78,59,58,15,58,9.9,-,78,51,44,311.67,-19.59,60,3086,0.9,0.08,0.82,0.1,17.2,0.8,c,0,IV,1,The nearest compan.at 3.2NW
3087,1986,--,--,16,5,42.7,+,22,27,24,16,3,33.2,+,22,35,27,37.97,45.93,169,3087,1.23,0.11,1.23,0.12,16.3,0.26,c,1,II,3,Two-layers. F.curved S part
3088,1990,--,57174,16,6,56.6,+,62,32,14,16,6,16.1,+,62,40,9,94.86,42.42,31,3088,0.9,0.09,0.87,0.09,16.7,0.09,d,0,II,0,--
3089,1994,--,--,16,7,44.6,+,65,29,49,16,7,20.6,+,65,37,41,98.38,41.05,87,3089,0.96,0.1,0.96,0.11,16.7,0.12,c,0,III,0,--
3090,1238,E,--,16,8,3.1,-,28,34,49,16,4,57.4,-,28,26,53,346.94,17.04,38,3090,0.92,0.1,0.95,0.11,16.6,0.84,c,0,II,2,--
3091,1991,--,--,16,8,13.2,+,40,19,5,16,6,29.5,+,40,26,58,64.07,47.6,111,3091,0.77,0.1,0.8,0.11,16.7,0.04,cd,0,II,0,--
3092,1989,--,57261,16,8,17.5,+,7,32,21,16,5,51.6,+,7,40,15,19.55,39.51,55,3092,3.34,0.45,2.95,0.46,14.1,0.19,d,0,I,0,Dust lane
3093,1239,E,57271,16,8,33.7,-,25,1,11,16,5,32.5,-,24,53,16,349.69,19.47,32,3093,1.67,0.2,1.26,0.21,15.7,0.65,bc,0,II,0,--
3094,1992,--,57284,16,8,58.6,+,36,36,38,16,7,8.7,+,36,44,28,58.57,47.48,168,3094,2.18,0.21,2.22,0.24,15.2,0.09,cd,1,II,0,Two-layers
3095,1237,E,--,16,9,17.6,-,68,2,41,16,4,18.4,-,67,54,46,319.82,-11.93,8,3095,1.31,0.09,0.97,0.08,16.7,0.38,c,0,III,0,Star near nucleus
3096,1993,--,--,16,9,30.5,+,22,20,10,16,7,21.1,+,22,27,58,38.16,45.05,92,3096,0.81,0.09,0.9,0.11,16.7,0.42,d,1,II,1,--
3097,1995,--,57332,16,9,51.1,+,20,10,36,16,7,39.1,+,20,18,24,35.3,44.32,129,3097,1.79,0.17,1.81,0.17,15.5,0.2,d,1,II,0,--
3098,1996,--,57337,16,9,51.4,+,22,36,54,16,7,42.4,+,22,44,41,38.57,45.05,61,3098,1.71,0.18,1.64,0.2,15.6,0.32,cd,1,II,3,Companion at 3.7 NE
3099,1997,--,--,16,9,57.6,+,22,44,10,16,7,48.7,+,22,51,57,38.75,45.06,42,3099,0.72,0.1,0.72,0.1,16.7,0.29,dm,0,II,1,Bluish
3100,1998,--,57349,16,10,4.8,+,22,39,0,16,7,55.8,+,22,46,46,38.64,45.01,14,3100,1.65,0.21,1.62,0.24,15.5,0.3,bc,0,II,3,--
3101,2000,--,--,16,10,32.2,+,52,25,1,16,9,15.5,+,52,32,44,81.4,45.39,135,3101,0.76,0.1,0.69,0.11,17.1,0.08,c,2,IV,3,Contrast red nucleus
3102,1999,--,--,16,10,52.8,-,0,0,19,16,8,19.0,+,0,7,25,11.89,35.01,154,3102,0.62,0.07,0.56,0.08,17.4,0.55,cd,1,III,0,--
3103,1240,E,--,16,11,14.3,-,25,34,5,16,8,12.3,-,25,26,21,349.72,18.65,172,3103,0.94,0.09,0.95,0.11,16.6,0.98,cd,0,II,0,--
3104,2002,--,--,16,12,3.1,+,52,47,27,16,10,47.9,+,52,55,3,81.83,45.07,14,3104,0.9,0.1,0.83,0.11,16.8,0.07,c,1,III,2,Two-layers
3105,2001,--,57478,16,12,26.9,+,38,14,33,16,10,40.2,+,38,22,10,60.99,46.82,50,3105,1.47,0.16,1.33,0.15,15.8,0.05,cd,0,II,3,--
3106,2003,--,57499,16,12,50.4,+,31,59,35,16,10,53.9,+,32,7,10,51.92,46.32,133,3106,1.51,0.2,1.7,0.24,15.5,0.1,bc,0,II,0,--
3107,1241,E,--,16,12,52.9,-,21,31,38,16,9,55.8,-,21,24,1,353.12,21.15,41,3107,0.61,0.07,0.58,0.09,17.3,1.22,c,0,II,0,--
3108,2007,--,--,16,13,22.8,+,62,58,56,16,12,46.3,+,63,6,27,95.0,41.56,46,3108,0.76,0.08,0.65,0.09,17.3,0.08,cd,0,IV,0,--
3109,2005,--,--,16,13,40.3,+,52,52,24,16,12,25.6,+,52,59,54,81.85,44.81,58,3109,0.73,0.09,0.66,0.09,16.9,0.07,d,1,II,0,--
3110,2012,--,--,16,13,42.5,+,69,12,4,16,13,46.6,+,69,19,32,102.32,38.83,83,3110,0.82,0.1,0.82,0.12,16.9,0.14,bc,1,III,0,Red nucleus
3111,2004,--,57582,16,14,25.0,-,0,12,26,16,11,51.2,-,0,4,56,12.29,34.16,90,3111,5.71,0.58,5.26,0.65,13.5,0.57,c,0,II,0,Dust lane
3112,2006,--,--,16,14,43.2,+,27,51,43,16,12,41.0,+,27,59,11,46.17,45.25,102,3112,0.99,0.12,0.99,0.12,16.3,0.21,d,0,II,0,Knotty
3113,2008,--,--,16,15,4.3,+,31,27,46,16,13,7.2,+,31,35,12,51.26,45.78,116,3113,0.87,0.11,0.81,0.13,16.4,0.12,dm,1,I,0,--
3114,2009,--,57627,16,15,28.8,+,18,54,18,16,13,15.6,+,19,1,44,34.25,42.65,1,3114,2.24,0.29,2.09,0.31,15.0,0.21,c,1,II,0,Two-layers. Curved N end
3115,2010,--,--,16,15,55.2,+,16,47,2,16,13,39.4,+,16,54,26,31.62,41.8,127,3115,0.97,0.11,0.97,0.12,16.5,0.22,bc,1,II,1,--
3116,2011,--,--,16,16,3.4,+,11,28,52,16,13,41.8,+,11,36,15,25.24,39.63,153,3116,0.75,0.09,0.67,0.11,17.1,0.24,c,1,III,0,--
3117,1242,E,57688,16,16,35.4,-,62,41,25,16,12,6.0,-,62,33,59,324.16,-8.61,128,3117,1.45,0.16,1.26,0.21,16.0,0.63,cd,0,III,0,--
3118,2013,--,--,16,16,40.8,+,14,39,0,16,14,22.8,+,14,46,21,29.09,40.81,144,3118,1.18,0.11,0.95,0.11,16.6,0.19,c,1,III,0,--
3119,2014,--,--,16,17,9.6,+,19,59,38,16,14,57.7,+,20,6,57,35.83,42.64,81,3119,1.23,0.11,1.01,0.11,16.4,0.2,cd,0,II,0,--
3120,2015,--,--,16,17,19.9,+,43,28,46,16,15,43.4,+,43,36,3,68.52,45.73,151,3120,0.78,0.11,0.75,0.13,16.7,0.06,bc,0,II,1,Galaxy 0.6 at 1.0 NE
3121,2016,--,--,16,17,48.2,+,26,31,10,16,15,44.4,+,26,38,26,44.53,44.29,50,3121,0.9,0.09,0.83,0.09,16.7,0.21,cd,0,II,1,--
3122,2021,--,--,16,17,54.2,+,59,31,36,16,17,3.0,+,59,38,49,90.41,42.32,168,3122,0.84,0.1,0.75,0.1,16.9,0.06,c,1,III,2,--
3123,2019,--,--,16,18,24.0,+,33,56,35,16,16,31.0,+,34,3,48,54.9,45.38,90,3123,0.78,0.09,0.75,0.1,17.0,0.07,cd,0,III,0,--
3124,2018,--,57788,16,18,29.8,+,22,9,50,16,16,20.7,+,22,17,4,38.77,43.01,130,3124,1.23,0.17,1.12,0.19,15.8,0.36,c,0,I,2,--
3125,2017,--,--,16,18,36.0,+,1,9,30,16,16,3.5,+,1,16,44,14.36,34.03,21,3125,1.12,0.09,1.01,0.1,16.5,0.33,d,1,II,0,--
3126,2020,--,--,16,19,1.9,+,15,45,50,16,16,45.2,+,15,53,2,30.74,40.72,76,3126,1.0,0.1,1.0,0.1,16.5,0.19,d,0,II,3,Compact companion in contact
3127,2022,--,--,16,19,11.5,+,39,44,41,16,17,28.1,+,39,51,51,63.17,45.51,158,3127,0.88,0.1,0.88,0.1,16.6,0.03,d,0,II,1,Spiral 0.6 at 3.0 S
3128,1243,E,--,16,19,16.0,-,21,26,26,16,16,18.6,-,21,19,14,354.25,20.11,108,3128,0.82,0.09,0.78,0.1,16.8,1.56,c,0,II,0,Round nucleus
--,1244,E,--,16,19,30.4,-,22,25,40,16,16,31.8,-,22,18,28,353.51,19.41,111,--,0.53,0.07,0.58,0.09,17.3,0.86,cd,0,II,0,Curved ends w.projecting stars
3129,2024,--,57854,16,20,0.5,+,37,35,4,16,18,13.4,+,37,42,11,60.1,45.31,50,3129,1.22,0.11,1.22,0.11,16.4,0.07,cd,0,III,4,Comp.gal.proj.on N-side.In cl.
3130,2023,--,--,16,20,4.6,+,14,8,41,16,17,46.1,+,14,15,48,28.92,39.86,64,3130,0.65,0.07,0.71,0.09,17.1,0.25,cd,0,II,0,--
3131,2025,--,--,16,20,7.2,+,40,57,7,16,18,25.9,+,41,4,13,64.89,45.33,174,3131,0.65,0.08,0.59,0.08,17.1,0.02,d,0,II,3,--
3132,2028,--,--,16,20,50.4,+,63,7,16,16,20,16.4,+,63,14,17,94.74,40.73,135,3132,1.01,0.08,0.92,0.08,16.9,0.09,d,1,III,1,V.comp.and red gal.at 0.4 NW
3133,2026,--,--,16,21,31.2,+,40,54,4,16,19,50.2,+,41,1,4,64.81,45.06,102,3133,0.67,0.09,0.58,0.09,17.0,0.02,d,0,II,1,--
3134,2030,--,57926,16,21,50.4,+,67,17,35,16,21,42.2,+,67,24,31,99.69,39.0,52,3134,1.24,0.17,1.21,0.2,15.8,0.19,dm,1,II,0,Yellow diffuse halo
3135,2029,--,--,16,22,13.4,+,40,37,43,16,20,31.9,+,40,44,41,64.42,44.93,51,3135,0.81,0.11,0.69,0.11,16.7,0.03,c,1,II,1,--
3136,2027,--,57941,16,22,21.6,+,13,51,13,16,20,3.0,+,13,58,12,28.86,39.23,50,3136,1.12,0.11,1.01,0.12,16.6,0.2,c,0,III,2,Diffuse spiral 0.5 at 3.3 N
3137,2037,--,--,16,23,45.4,+,78,58,18,16,26,26.8,+,79,5,1,112.38,33.36,59,3137,0.73,0.08,0.73,0.09,17.1,0.18,cd,1,III,0,--
3138,2034,--,--,16,23,54.7,+,69,4,57,16,24,0.9,+,69,11,44,101.66,38.07,18,3138,0.84,0.1,0.85,0.1,16.6,0.15,cd,1,II,0,--
3139,2032,--,--,16,24,21.6,+,40,51,54,16,22,40.7,+,40,58,43,64.75,44.53,78,3139,0.78,0.09,0.68,0.1,16.9,0.03,cd,1,II,1,--
3140,1246,E,58039,16,24,29.2,-,64,42,38,16,19,47.0,-,64,35,42,323.32,-10.65,52,3140,0.99,0.09,1.06,0.12,16.7,0.53,c,0,III,1,Companion of pair at 1.0 E
3141,1245,E,--,16,24,38.5,-,76,53,10,16,17,45.3,-,76,46,11,314.02,-18.87,71,3141,0.9,0.09,0.73,0.11,17.0,0.51,c,0,III,0,Diffuse. El.galaxy at 0.5 S
3142,2031,--,58059,16,24,50.2,+,9,36,26,16,22,26.6,+,9,43,15,24.32,36.86,135,3142,1.23,0.15,1.23,0.21,16.2,0.26,bc,1,III,2,Elliptical compan.at 2.0 S
3143,2033,--,--,16,24,57.6,+,46,35,56,16,23,28.5,+,46,42,43,72.75,44.11,13,3143,0.69,0.09,0.67,0.1,17.1,0.03,cd,0,III,0,--
3144,2035,--,58178,16,27,19.2,+,1,55,15,16,24,47.4,+,2,1,54,16.51,32.58,42,3144,1.37,0.18,1.34,0.19,15.6,0.27,c,0,I,0,--
3145,2036,--,--,16,27,32.4,+,48,42,55,16,26,8.6,+,48,49,31,75.59,43.44,175,3145,0.95,0.1,0.8,0.1,16.6,0.06,d,0,II,2,Companion at 1.4 SW
3146,2039,--,--,16,28,58.8,+,42,25,11,16,27,21.3,+,42,31,42,66.9,43.64,101,3146,1.03,0.11,0.91,0.12,16.5,0.04,c,0,II,0,--
3147,2043,--,58288,16,29,7.2,+,79,29,2,16,32,7.8,+,79,35,23,112.75,32.88,150,3147,1.53,0.16,1.57,0.18,15.9,0.18,c,0,III,0,--
3148,2038,--,--,16,29,26.4,+,20,8,35,16,27,15.4,+,20,15,5,37.26,39.96,53,3148,0.81,0.11,0.69,0.12,16.7,0.27,bc,1,II,2,--
3149,2040,--,58347,16,29,44.2,+,11,50,50,16,27,23.4,+,11,57,19,27.49,36.76,114,3149,1.1,0.15,1.12,0.17,16.1,0.29,bc,2,II,1,--
3150,2042,--,--,16,30,57.6,+,55,30,32,16,29,53.9,+,55,36,54,84.56,41.74,162,3150,0.75,0.1,0.57,0.1,16.9,0.03,cd,0,II,0,--
3151,2041,--,--,16,31,7.2,+,39,25,48,16,29,24.4,+,39,32,11,62.79,43.21,67,3151,1.13,0.15,1.05,0.2,16.3,0.03,c,0,III,2,Sharp red nucleus
3152,1247,E,58433,16,31,35.8,-,67,52,4,16,26,30.9,-,67,45,36,321.43,-13.31,88,3152,1.11,0.13,1.06,0.13,16.2,0.36,c,0,II,3,--
3153,1248,E,58445,16,31,45.5,-,63,45,38,16,27,6.9,-,63,39,12,324.57,-10.59,3,3153,0.82,0.08,0.97,0.1,16.9,0.6,d,0,III,0,Star projected
3154,2045,--,58471,16,32,31.2,+,67,44,49,16,32,29.3,+,67,51,2,99.71,37.88,28,3154,1.12,0.12,1.01,0.13,16.4,0.16,bc,0,II,0,--
3155,2044,--,--,16,33,55.9,+,43,45,44,16,32,21.5,+,43,51,55,68.71,42.71,67,3155,0.84,0.11,0.83,0.11,16.6,0.03,c,0,II,0,--
3156,2047,--,--,16,34,33.6,+,43,55,20,16,32,59.8,+,44,1,28,68.93,42.59,102,3156,0.67,0.08,0.72,0.1,17.0,0.04,cd,0,II,1,--
3157,2049,--,58524,16,34,34.6,+,57,19,11,16,33,38.0,+,57,25,17,86.76,40.85,123,3157,1.21,0.17,1.06,0.17,16.0,0.04,c,0,II,0,--
3158,1249,E,58527,16,34,34.8,-,62,2,48,16,30,4.4,-,61,56,34,326.09,-9.68,95,3158,1.58,0.13,1.94,0.19,15.9,0.82,c,0,III,0,Star projected
3159,2046,--,58538,16,34,55.2,+,20,34,44,16,32,44.8,+,20,40,52,38.34,38.88,50,3159,1.62,0.17,1.48,0.18,15.7,0.29,d,2,II,0,--
3160,2048,--,58545,16,35,7.2,+,40,59,28,16,33,27.4,+,41,5,34,64.95,42.5,118,3160,1.67,0.12,1.59,0.16,15.9,0.03,d,0,II,0,--
3161,2052,--,58571,16,35,43.2,+,68,25,41,16,35,47.3,+,68,31,41,100.36,37.35,58,3161,1.79,0.24,1.7,0.24,15.5,0.15,c,1,III,1,--
3162,2050,--,--,16,36,36.0,+,4,26,42,16,34,7.1,+,4,32,43,20.47,31.86,134,3162,0.96,0.11,0.84,0.15,16.6,0.3,bc,0,II,0,--
3163,2051,--,--,16,37,12.2,+,44,15,45,16,35,39.5,+,44,21,42,69.37,42.11,178,3163,0.81,0.1,0.84,0.11,16.8,0.06,cd,0,III,9,In group
3164,2053,--,58614,16,37,21.6,+,62,44,28,16,36,49.4,+,62,50,22,93.46,39.08,73,3164,1.57,0.11,1.53,0.11,16.0,0.12,d,0,II,0,--
3165,1250,E,58642,16,37,52.7,-,64,48,48,16,33,6.7,-,64,42,47,324.21,-11.78,51,3165,2.08,0.17,0.97,0.19,16.0,0.58,b,0,II,1,Star projected
3166,1252,E,58694,16,39,18.2,-,59,53,7,16,34,56.9,-,59,47,12,328.11,-8.69,74,3166,1.45,0.17,1.36,0.21,15.8,1.29,bc,0,II,0,--
3167,2054,--,58700,16,39,21.6,+,29,22,11,16,37,23.1,+,29,28,1,49.68,40.26,179,3167,1.01,0.11,0.95,0.11,16.6,0.13,c,0,III,0,--
3168,2056,--,--,16,39,39.4,+,54,42,37,16,38,34.2,+,54,48,23,83.19,40.68,142,3168,0.9,0.12,0.83,0.13,16.7,0.08,bc,0,III,0,--
3169,2055,--,--,16,39,45.4,+,29,31,14,16,37,47.1,+,29,37,2,49.9,40.21,100,3169,0.62,0.08,0.67,0.09,17.2,0.16,cd,1,III,2,--
3170,1251,E,58726,16,40,12.0,-,71,18,7,16,34,34.0,-,71,12,14,319.22,-16.1,109,3170,1.18,0.09,1.02,0.11,16.6,0.43,cd,0,II,0,--
3171,1253,E,58752,16,41,4.9,-,66,35,49,16,36,6.7,-,66,30,1,323.04,-13.18,108,3171,1.53,0.17,1.79,0.2,15.7,0.37,b,0,II,0,Neighbour at 1.3 SW
3172,1254,E,58755,16,41,6.9,-,60,58,55,16,36,40.3,-,60,53,8,327.42,-9.57,135,3172,0.99,0.09,0.97,0.1,16.7,1.21,d,0,III,0,--
3173,2065,--,--,16,41,13.4,+,77,11,47,16,43,18.0,+,77,17,20,110.0,33.42,129,3173,0.66,0.08,0.58,0.09,17.1,0.17,d,1,II,0,--
3174,2057,--,--,16,41,35.5,+,9,25,57,16,39,12.2,+,9,31,38,26.38,33.09,154,3174,0.97,0.12,1.01,0.12,16.4,0.28,bc,1,II,0,Pair of comp.gals at 1.5 S
3175,1257,E,58792,16,41,53.9,-,24,56,46,16,38,50.9,-,24,51,5,355.0,13.88,59,3175,0.87,0.09,0.87,0.11,16.9,2.09,cd,0,III,1,LSB galaxy at 2.5 NE
3176,2059,--,--,16,42,18.2,+,48,27,38,16,40,55.7,+,48,33,14,74.92,41.04,124,3176,0.74,0.09,0.68,0.1,16.8,0.08,dm,2,II,4,--
3177,2058,--,--,16,42,24.0,+,20,0,47,16,40,13.3,+,20,6,24,38.39,37.04,84,3177,0.85,0.09,0.69,0.09,17.0,0.25,cd,0,III,0,--
3178,2060,--,--,16,42,43.2,+,40,14,53,16,41,2.8,+,40,20,28,64.03,41.02,170,3178,0.66,0.08,0.57,0.08,17.1,0.04,d,0,II,2,--
3179,1256,E,--,16,42,49.5,-,61,5,17,16,38,22.1,-,60,59,37,327.48,-9.8,16,3179,1.45,0.16,1.55,0.19,15.9,1.27,c,0,III,0,Slightly curved
3180,2061,--,--,16,43,8.9,+,48,52,41,16,41,47.3,+,48,58,14,75.46,40.87,160,3180,0.6,0.08,0.62,0.09,17.1,0.08,cd,0,II,1,--
3181,2063,--,--,16,43,43.7,+,52,11,10,16,42,31.3,+,52,16,40,79.79,40.45,178,3181,0.85,0.11,0.88,0.12,16.7,0.18,cd,1,III,3,Star projected
3182,2064,--,--,16,44,14.4,+,51,19,55,16,42,59.5,+,51,25,23,78.66,40.47,142,3182,0.87,0.12,0.84,0.12,16.4,0.07,c,0,I,2,--
3183,2062,--,--,16,44,18.7,+,30,51,37,16,42,22.6,+,30,57,6,51.87,39.51,171,3183,0.72,0.09,0.78,0.1,17.0,0.12,cd,0,III,0,--
3184,1258,E,58876,16,44,21.6,-,55,29,34,16,40,16.3,-,55,24,1,331.92,-6.33,121,3184,1.99,0.17,1.75,0.2,15.7,1.4,d,0,III,0,Star projected
3185,2066,--,58869,16,44,22.8,+,58,50,34,16,43,33.8,+,58,56,0,88.32,39.24,65,3185,1.0,0.08,1.15,0.07,16.6,0.05,d,0,II,1,--
3186,2067,--,--,16,45,57.6,+,39,59,10,16,44,17.0,+,40,4,31,63.74,40.39,101,3186,1.12,0.11,1.12,0.12,16.3,0.05,cd,0,II,1,--
3187,2071,--,58958,16,46,36.2,+,69,20,43,16,46,50.9,+,69,25,57,101.0,36.11,173,3187,0.8,0.1,0.78,0.11,16.7,0.19,c,0,II,2,--
3188,2070,--,58960,16,46,36.5,+,62,49,22,16,46,6.4,+,62,54,38,93.19,38.04,148,3188,3.09,0.31,3.05,0.34,14.7,0.15,b,0,II,0,Dust lane
3189,2080,--,--,16,46,36.5,+,82,10,44,16,51,48.5,+,82,15,49,115.13,30.96,92,3189,0.71,0.09,0.44,0.08,17.3,0.38,d,1,III,0,Blue Knots on the edges
3190,2068,--,--,16,46,54.7,+,31,53,7,16,45,0.5,+,31,58,25,53.31,39.16,102,3190,1.12,0.11,0.99,0.11,16.5,0.11,d,1,III,2,--
3191,1260,E,58974,16,47,4.0,-,29,5,32,16,43,55.0,-,29,0,12,352.46,10.37,20,3191,1.45,0.16,1.36,0.2,15.9,1.3,d,0,III,0,Diffuse
3192,2069,--,--,16,47,24.0,+,30,36,14,16,45,27.8,+,30,41,31,51.72,38.81,76,3192,0.76,0.1,0.68,0.11,16.8,0.14,bc,1,II,0,--
