NGC,Extension,Components,Dreye,NAMEZH,TYPE,CLASS,CONZH,CON,RAJ2000,DECJ2000,RADJ2000,DECDJ2000,VMAG,BMAG,B-V,SB,AX,AY,ANGLE,DESP,DESPS
NGC89,,,*,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,SB0-a,·ï»Ë×ù,PHE,0h21m24.3s,0.35675,-48h39m55s,-48.66527778,13.5,14.2,0.7,13,1.2,0.6,148,"very faint, small, round, gradually brighter middle, 3rd of 4","vF, S, R, gbM, 3rd of 4"
NGC90,,,*,,Gxy,SBc,ÏÉÅ®×ù,AND,0h21m51.6s,0.364333333,+22h24m2s,22.40055556,13.7,14.5,0.8,14,1.9,0.8,132,"very faint, a little extended.","vF, lE"
NGC91,,,*,,Star(s),*,ÏÉÅ®×ù,AND,0h21m51.7s,0.364361111,+22h22m8s,22.36888889,,15.1,,,,,,"very faint, very small, 13th magnitude star to southwest.","vF, vS, * 13 sp"
NGC92,,,*,ÂÞ²®ÌØËÄÖØÐÇÏµ,Gxy,Sa,·ï»Ë×ù,PHE,0h21m31.4s,0.358722222,-48h37m29s,-48.62472222,13.1,13.8,0.7,13.6,1.9,0.9,148,"faint, small, round, gradually brighter middle, 4th of 4","F, S, R, gbM, 4th of 4"
NGC93,,,*,,Gxy,Sb,ÏÉÅ®×ù,AND,0h22m3.4s,0.367611111,+22h24m32s,22.40888889,13.2,14.3,1.1,12.8,1.4,0.6,48,"very faint, very small","vF, vS"
NGC94,,1,*,,Gxy,S0,ÏÉÅ®×ù,AND,0h22m13.6s,0.370444444,+22h29m0s,22.48333333,14.6,15.6,1,11.7,0.4,0.2,30,"extremely faint, very small","eF, vS"
NGC95,,,*,,Gxy,SBc/P,Ë«Óã×ù,PSC,0h22m13.6s,0.370444444,+10h29m31s,10.49194444,12.5,13.2,0.7,13.2,1.5,1.1,90,"faint, pretty large, round, gradually brighter middle","F, pL, R, gbM"
NGC96,,,*,,Gxy,S0,ÏÉÅ®×ù,AND,0h22m17.8s,0.371611111,+22h32m48s,22.54666667,14.6,15.6,1,13.4,0.6,0.6,,"very faint, small, a very little brighter middle","vF, S, vlbM"
NGC97,,,*,,Gxy,E0,ÏÉÅ®×ù,AND,0h22m30s,0.375,+29h44m44s,29.74555556,12.3,13.3,1,12.9,1.3,1.3,,"faint, very small, round, gradually brighter middle","F, vS, R, gbM"
NGC98,,,*,,Gxy,SBbc,·ï»Ë×ù,PHE,0h22m49.3s,0.380361111,-45h16m6s,-45.26833333,12.7,13.4,0.7,13.4,1.6,1.3,0,"very faint, pretty small, round, brighter middle, mottled but not resolved","vF, pS, R, bM, r"
NGC99,,,*,,Gxy,Sc/P,Ë«Óã×ù,PSC,0h23m59.6s,0.399888889,+15h46m12s,15.77,13.7,14,0.3,14.1,1,0.9,42,"very faint, pretty large, round, gradually brighter middle","vF, pL, R, gbM"
NGC100,,,*,,Gxy,Sc,Ë«Óã×ù,PSC,0h24m2.6s,0.400722222,+16h29m11s,16.48638889,13.3,13.9,0.6,14.6,4.2,0.5,56,"very faint, pretty small, much extended","vF, pS, mE"
NGC101,,,*,,Gxy,SBc,Óñ·ò×ù,SCL,0h23m54.5s,0.398472222,-32h32m11s,-32.53638889,12.8,13.4,0.6,14.3,2.1,2,89,"pretty bright, pretty large, a little extended, 14th magnitude star to east","pB, pL, lE, * 14 f"
NGC102,,,*,,Gxy,SB0-a,¾¨Óã×ù,CET,0h24m36.5s,0.410138889,-13h57m22s,-13.95611111,13.5,14.4,0.9,13,1,0.7,140,"extremely faint, very small, round","eF, vS, R"
NGC103,,,*,,OCL,II2p,ÏÉºó×ù,CAS,0h25m17.3s,0.421472222,+61h19m19s,61.32194444,9.8,,,,5,,,"a cluster, pretty small, pretty compressed, stars from 11th to 18th magnitude","Cl, pS, pC, st 11¡­18"
NGC104,,,*,¶Å¾é×ù47Çò×´ÐÇÍÅ,GCL,III,¶Å¾é×ù,TUC,0h24m5.2s,0.401444444,-72h4m49s,-72.08027778,4,,,,50,,,"a globular cluster, very remarkable, very bright, very large, very much compressed middle","globular!! vB, vL, vmCM"
NGC105,,,*,,Gxy,Sab,Ë«Óã×ù,PSC,0h25m16.9s,0.421361111,+12h53m1s,12.88361111,13.2,13.9,0.7,12.8,1.1,0.7,167,"very faint, small, round, a very little brighter middle","vF, S, R, vlbM"
NGC106,,,*,,Gxy,Scd,Ë«Óã×ù,PSC,0h24m43.7s,0.412138889,-5h8m56s,-5.148888889,13.7,14.4,0.7,13,0.9,0.7,100,"pretty faint, very small, round, a little brighter middle","pF, vS, R, lbM"
NGC107,,,*,,Gxy,Sbc,¾¨Óã×ù,CET,0h25m42.1s,0.428361111,-8h17m0s,-8.283333333,14.2,15,0.8,13.3,0.9,0.6,142,"faint, pretty large, 7th magnitude star 5 arcmin to southeast","F, pL, * 7 sf 5'"
NGC108,,,*,,Gxy,SB0-a,ÏÉÅ®×ù,AND,0h25m59.7s,0.43325,+29h12m43s,29.21194444,12.1,13,0.9,13.5,2.3,1.8,153,"pretty faint, pretty large, round, pretty suddenly a little brighter middle","pF, pL, R, pslbM"
NGC109,,,*,,Gxy,SBa,ÏÉÅ®×ù,AND,0h26m14.6s,0.437388889,+21h48m28s,21.80777778,13.7,14.7,1,13.8,1.1,1,77,"very faint, small, 3 stars near","vF, S, 3 st nr"
NGC110,,,*,,OCL,IV1p,ÏÉºó×ù,CAS,0h27m25.4s,0.457055556,+71h23m26s,71.39055556,,,,,19,,,"a cluster, pretty round, a little compressed, stars from 9th to 12th magnitude","Cl, pR, lC, st 9¡­12"
NGC111,,,*,,Gxy,S0,¾¨Óã×ù,CET,1h55m42.1s,1.928361111,-3h3m58s,-3.066111111,14.4,15.4,1,13.8,0.9,0.7,85,"very faint, small, round, a little brighter middle, 8.5 magnitude star 36 seconds of time to west and 2 arcmin to north (? = 5100)","vF, S, R, lbM, * 8.5 p 36s, n 2' (?=5100)"
NGC112,,,*,,Gxy,Sc,ÏÉÅ®×ù,AND,0h26m48.8s,0.446888889,+31h42m10s,31.70277778,13.6,14.3,0.7,12.7,1,0.5,108,"extremely faint, very small, round","eF, vS, R"
NGC113,,,*,,Gxy,E-S0,¾¨Óã×ù,CET,0h26m54.7s,0.448527778,-2h30m2s,-2.500555556,13.1,14.1,1,13.5,1.4,1,135,"very faint, small, suddenly brighter middle","vF, S, sbM"
NGC114,,,*,,Gxy,SB0,¾¨Óã×ù,CET,0h26m58.2s,0.4495,-1h47m9s,-1.785833333,13.8,14.7,0.9,13.3,0.8,0.7,165,"very faint, small star in center, western of 2","vF, S * in centre, p of 2"
NGC115,,,*,,Gxy,SBbc,Óñ·ò×ù,SCL,0h26m46s,0.446111111,-33h40m34s,-33.67611111,13.1,13.9,0.8,13.5,1.9,0.9,127,"very faint, pretty large, a little extended, double star 2 arcmin to northwest","vF, pL, lE, D * 2' np"
NGC116,,,*,,NF,NF,¾¨Óã×ù,CET,0h27m9s,0.4525,-7h56m18s,-7.938333333,,,,,,,,very faint,vF
NGC117,,,*,,Gxy,S0-a,¾¨Óã×ù,CET,0h27m10.9s,0.453027778,+1h20m3s,1.334166667,14.3,15.2,0.9,13.3,0.7,0.4,100,"faint, very small","F, vS"
NGC118,,,*,,Gxy,C,¾¨Óã×ù,CET,0h27m16.1s,0.454472222,-1h46m47s,-1.779722222,13.6,14.6,1,12.3,0.7,0.5,40,"very faint, small star in centre, eastern of 2","vF, S * in centre, f of 2"
NGC119,,,*,,Gxy,S0/P,·ï»Ë×ù,PHE,0h26m57.6s,0.449333333,-56h58m40s,-56.97777778,13,14,1,12.9,1,1,,"pretty bright, small, round, much brighter middle","pB, S, R, mbM"
NGC120,,,*,,Gxy,SB0,¾¨Óã×ù,CET,0h27m30.1s,0.458361111,-1h30m49s,-1.513611111,13.4,14.4,1,13,1.5,0.6,73,a nebulous star,Nebulous *
NGC121,,,*,,GCL,GCL,¶Å¾é×ù,TUC,0h26m47.1s,0.446416667,-71h32m12s,-71.53666667,11.2,11.2,,,1.5,,,"pretty bright, pretty small, a little extended, very gradually brighter middle","pB, pS, lE, vgbM"
NGC122,,,*,,Star(s),*,¾¨Óã×ù,CET,0h27m38.3s,0.460638889,-1h38m24s,-1.64,,15.4,,,,,,2 very faint nebulae 4 to 5 arcmin northwest of 8.5 magnitude star,2vF neb 4'-5' np of * 8.5m
NGC123,,,*,,Star(s),*,¾¨Óã×ù,CET,0h27m36.2s,0.460055556,-1h35m58s,-1.599444444,,14.2,,,,,,2 very faint nebulae 4 to 5 arcmin northwest of 8.5 magnitude star,2vF neb 4'-5' np of * 8.5m
NGC124,,,*,,Gxy,Sc,¾¨Óã×ù,CET,0h27m52.3s,0.464527778,-1h48m37s,-1.810277778,13,13.7,0.7,12.9,1.4,0.8,168,"very faint, large, diffuse, 2 faint stars to northwest","vF, L, dif, 2 F st np"
NGC125,,,*,,Gxy,S0-a,Ë«Óã×ù,PSC,0h28m50.3s,0.480638889,+2h50m19s,2.838611111,12.1,13.1,1,13,1.8,1.6,85,"very faint, small, brighter middle, double star to southwest","vF, S, bM, D * sp"
NGC126,,,*,,Gxy,SB0,Ë«Óã×ù,PSC,0h29m8.1s,0.485583333,+2h48m40s,2.811111111,14.2,15.2,1,12.7,0.8,0.4,110,"very faint, small, a little extended","vF, S, lE"
NGC127,,,*,,Gxy,S0,Ë«Óã×ù,PSC,0h29m12.3s,0.48675,+2h52m24s,2.873333333,14.8,15.8,1,13.7,0.8,0.5,70,"very faint, very small, round, west of h 25","vF, vS, R, p h 25"
NGC128,,,*,NGC 128ÐÇÏµÈº,Gxy,S0/P,Ë«Óã×ù,PSC,0h29m14.9s,0.487472222,+2h51m54s,2.865,11.8,12.8,1,12.7,2.5,0.7,1,"pretty bright, pretty small, a little extended 2¡ã, brighter middle","pB, pS, lE 2¡ã, bM"
NGC129,,,*,,OCL,IV2p,ÏÉºó×ù,CAS,0h29m58s,0.499444444,+60h12m42s,60.21166667,6.5,,,,12,,,"a cluster, very large, pretty round, a little compressed, stars from 9th to 13th magnitude","Cl, vL, pR, lC, st 9¡­13"
NGC130,,,*,,Gxy,E-S0,Ë«Óã×ù,PSC,0h29m18.6s,0.4885,+2h52m16s,2.871111111,14.4,15.4,1,13.1,0.7,0.4,52,"very faint, very small, round, east of h 25","vF, vS, R, f h 25"
NGC131,,,*,,Gxy,SBb,Óñ·ò×ù,SCL,0h29m38.1s,0.493916667,-33h15m37s,-33.26027778,13.2,13.8,0.6,13.1,1.8,0.6,63,"faint, pretty large, pretty much extended, very gradually brighter middle, western of 2","F, pL, pmE, vgbM, p of 2"
NGC132,,,*,,Gxy,SBbc,¾¨Óã×ù,CET,0h30m10.6s,0.502944444,+2h5m35s,2.093055556,12.6,13.4,0.8,13.6,1.9,1.5,49,"pretty faint, considerably large, round, very gradually a little brighter middle, mottled but not resolved","pF, cL, R, vglbM, r"
NGC133,,,*,,OCL,IV1p,ÏÉºó×ù,CAS,0h31m18s,0.521666667,+63h21m6s,63.35166667,9.4,,,,3,,,"a cluster, pretty large, stars from 10th magnitude, double star involved","Cl, pL, st 10¡­, D * inv"
NGC134,,,*,´óÍõÎÚÔôÐÇÏµ,Gxy,SBbc,Óñ·ò×ù,SCL,0h30m21.8s,0.506055556,-33h14m42s,-33.245,10.4,11.2,0.8,13.3,8.4,1.8,50,"very bright, large, very much extended 47¡ã, pretty suddenly brighter middle, eastern of 2, 10th magnitude star 45 arcsec to northwest","vB, L, vmE 47¡ã, psbM, f of 2, * 10 np 45"""
NGC135,,,*,,Gxy,S,¾¨Óã×ù,CET,0h31m45.9s,0.529416667,-13h20m16s,-13.33777778,15.1,15.9,0.8,13.4,0.5,0.5,,"very faint, very small, round","vF, vS, R"
NGC136,,,*,,OCL,II2p,ÏÉºó×ù,CAS,0h31m30.7s,0.525194444,+61h30m33s,61.50916667,,11.5,,,1.5,,,"a globular cluster, very faint, small, extremely compressed","globular, vF, S, eC"
NGC137,,,*,,Gxy,S0,Ë«Óã×ù,PSC,0h30m58.1s,0.516138889,+10h12m31s,10.20861111,12.8,13.7,0.9,13.2,1.2,1.2,,"faint, irregular figure, a little brighter middle","F, iF, lbM"
NGC138,,,*,,Gxy,Sa,Ë«Óã×ù,PSC,0h30m59.2s,0.516444444,+5h9m35s,5.159722222,13.7,14.6,0.9,13.3,1.3,0.6,175,"faint, extremely small, suddenly brighter middle","F, eS, sbM"
NGC139,,,*,,Gxy,SBab,Ë«Óã×ù,PSC,0h31m6.5s,0.518472222,+5h4m42s,5.078333333,14.4,15.2,0.8,13.3,0.8,0.5,171,"extremely faint, small","eF, S"
NGC140,,,*,,Gxy,Scd,ÏÉÅ®×ù,AND,0h31m20.4s,0.522333333,+30h47m31s,30.79194444,13.2,13.9,0.7,13.8,1.5,1.2,54,"very faint, small, round, gradually brighter middle","vF, S, R, gbM"
NGC141,,,*,,Gxy,S/P,Ë«Óã×ù,PSC,0h31m17.6s,0.521555556,+5h10m46s,5.179444444,14.5,15.4,0.9,13.6,0.8,0.6,90,"very faint, very small, irregularly round","vF, vS, iR"
NGC142,,,*,,Gxy,SBb,¾¨Óã×ù,CET,0h31m7.9s,0.518861111,-22h37m10s,-22.61944444,13.8,14.6,0.8,13.2,1.1,0.6,101,"extremely faint, small, a little extended, 1st of 3","eF, S, lE, 1st of 3"
NGC143,,,*,,Gxy,SBb,¾¨Óã×ù,CET,0h31m15.5s,0.520972222,-22h33m36s,-22.56,14.4,15.2,0.8,13,1,0.2,20,"extremely faint, small, much extended, 2nd of 3","eF, S, mE, 2nd of 3"
NGC144,,,*,,Gxy,Sc,¾¨Óã×ù,CET,0h31m20.7s,0.522416667,-22h38m46s,-22.64611111,13.8,14.5,0.7,13.1,0.8,0.8,,"extremely faint, very small, round, 3rd of 3","eF, vS, R, 3rd of 3"
NGC145,,,*,,Gxy,SBdm,¾¨Óã×ù,CET,0h31m45.6s,0.529333333,-5h9m14s,-5.153888889,12.7,13.2,0.5,13.5,1.8,1.5,57,"faint, pretty large, very little extended, very gradually brighter middle, 8th or 9th magnitude star 5 arcmin to east","F, pL, vlE, vgbM, * 8¡¤9 f 5'"
NGC146,,,*,,OCL,IV3p,ÏÉºó×ù,CAS,0h33m3s,0.550833333,+63h18m6s,63.30166667,9.1,,,,5,,,"a cluster, pretty large, a little compressed, stars from 11th to 12th magnitude, double star","Cl, pL, lC, st 11-12, D *"
NGC147,,,*,,Gxy,E5/P,ÏÉºó×ù,CAS,0h33m11.7s,0.55325,+48h30m26s,48.50722222,9.5,10.5,1,14.5,13.2,7.8,25,"very faint, very large, irregularly round, gradually then suddenly much brighter middle equal to 11th magnitude star","vF, vL, iR, gsmbM * 11"
NGC148,,,*,,Gxy,S0,Óñ·ò×ù,SCL,0h34m15.4s,0.570944444,-31h47m10s,-31.78611111,12.2,13.1,0.9,12.5,2,0.8,90,"very bright, small, a little extended 90¡ã, suddenly much brighter middle equal to 11th magnitude star","vB, S, lE 90¡ã, smbM * 11"
NGC149,,,*,,Gxy,S0,ÏÉÅ®×ù,AND,0h33m50.2s,0.563944444,+30h43m25s,30.72361111,13.7,14.7,1,13.4,1.2,0.7,155,"very faint, very small, round, gradually brighter middle equal to 14th magnitude star, 12th magnitude star to southwest","vF, vS, R, gbM * 14, * 12 sp"
NGC150,,,*,,Gxy,SBb,Óñ·ò×ù,SCL,0h34m15.7s,0.571027778,-27h48m18s,-27.805,11.4,12,0.6,13.3,3.9,1.9,118,"pretty faint, pretty small, round","pF, pS, R"
NGC151,,,*,,Gxy,SBbc,¾¨Óã×ù,CET,0h34m2.8s,0.567444444,-9h42m18s,-9.705,11.6,12.3,0.7,13.4,3.8,1.6,75,"pretty faint, pretty large, a little extended 90¡ã, very gradually a little brighter middle","pF, pL, lE 90¡ã, vglbM"
NGC152,,,*,,OCL,OCL,¶Å¾é×ù,TUC,0h32m56.9s,0.549138889,-73h6m58s,-73.11611111,,11.9,,,1.7,,,"very faint, large, round, very gradually a little brighter middle","vF, L, R, vglbM"
NGC153,,,*,,Dup,SBbc,¾¨Óã×ù,CET,0h34m2.8s,0.567444444,-9h42m18s,-9.705,11.6,12.3,0.7,13.4,3.8,1.6,75,"pretty faint, pretty large, a little extended 90¡ã, very gradually a little brighter middle","pF, pS, R, * nr nf"
NGC154,,,*,,Gxy,E?,¾¨Óã×ù,CET,0h34m19.4s,0.572055556,-12h39m21s,-12.65583333,14,15,1,14.1,1.1,0.9,80,"extremely faint, very small, round","eF, vS, R"
NGC155,,,*,,Gxy,S0,¾¨Óã×ù,CET,0h34m40s,0.577777778,-10h45m58s,-10.76611111,13.3,14.3,1,14,1.7,1.3,175,"pretty faint, small, round","pF, S, R"
NGC156,,,*,,Star(s),*2,¾¨Óã×ù,CET,0h34m35.8s,0.576611111,-8h20m22s,-8.339444444,,,,,,,,"very small, northwest of II 3","vS, np II 3"
NGC157,,,*,,Gxy,SBbc,¾¨Óã×ù,CET,0h34m46.4s,0.579555556,-8h23m46s,-8.396111111,10.4,11,0.6,12.9,3.5,2.4,36,"pretty bright, large, extended, between 2 considerably bright stars","pB, L, E, bet 2 cB st"
NGC158,,,*,,Star(s),*2,¾¨Óã×ù,CET,0h35m5.5s,0.584861111,-8h20m42s,-8.345,,,,,,,,"very small, northeast of II 3","vS, nf II 3"
NGC159,,,*,,Gxy,SB0-a,·ï»Ë×ù,PHE,0h34m35.4s,0.5765,-55h47m23s,-55.78972222,13.7,14.6,0.9,13.1,1.4,0.4,95,"very faint, pretty small, round, gradually a little brighter middle, 3 stars to east","vF, pS, R, glbM, 3 st f"
NGC160,,,*,,Gxy,S0-a,ÏÉÅ®×ù,AND,0h36m4.1s,0.601138889,+23h57m29s,23.95805556,12.7,13.6,0.9,14.3,2.3,1.2,45,"very faint, very small, stellar, 8th magnitude star 4 arcmin away 17¡ã east of north","vF, vS, stell, * 8, 17¡ã, 4'"
NGC161,,,*,,Gxy,S0,¾¨Óã×ù,CET,0h35m33.9s,0.59275,-2h50m54s,-2.848333333,13.4,14.4,1,13.3,1.3,0.8,27,"extremely faint, extremely small, round, nearly between 2 stars","eF, eS, R, nearly bet 2 st"
NGC162,,,*,,Star(s),*,ÏÉÅ®×ù,AND,0h36m9.2s,0.602555556,+23h57m44s,23.96222222,,15,,,,,,"extremely faint, stellar, h 39 to southwest","eF, stellar, h 39 sp"
NGC163,,,*,,Gxy,E3,¾¨Óã×ù,CET,0h35m59.7s,0.599916667,-10h7m17s,-10.12138889,12.7,13.6,0.9,13.4,1.6,1.2,85,"very faint, very small","vF, vS"
NGC164,,,*,,Gxy,S,Ë«Óã×ù,PSC,0h36m32.9s,0.609138889,+2h45m0s,2.75,15.8,16.6,0.8,13.7,0.4,0.4,,extremely faint,eF
NGC165,,,*,,Gxy,SBbc,¾¨Óã×ù,CET,0h36m28.9s,0.608027778,-10h6m23s,-10.10638889,13.1,13.9,0.8,13.7,1.6,1.3,77,"faint, large, star in center, eastern of 2","F, L, st in centre, f of 2"
NGC166,,,*,,Gxy,Sa,¾¨Óã×ù,CET,0h35m48.8s,0.596888889,-13h36m38s,-13.61055556,14.3,15.2,0.9,12.7,0.9,0.3,145,"extremely faint, small, a little extended, 11th magnitude star to northwest","eF, S, lE, * 11 np"
NGC167,,,*,,Gxy,SBc,¾¨Óã×ù,CET,0h35m22.9s,0.589694444,-23h22m29s,-23.37472222,13.7,14.4,0.7,13.2,1,0.7,171,"very faint, pretty small, irregularly round","vF, pS, iR"
NGC168,,,*,,Gxy,S0-a,¾¨Óã×ù,CET,0h36m38.6s,0.610722222,-22h35m37s,-22.59361111,14,14.9,0.9,12.8,1.2,0.3,26,"extremely faint, small, extended 30¡ã, 10th magnitude star 3 arcmin to northeast","eF, S, E 30¡ã, * 10 nf 3'"
NGC169,,,*,,Gxy,Sb,ÏÉÅ®×ù,AND,0h36m51.7s,0.614361111,+23h59m29s,23.99138889,12.4,13.2,0.8,12.7,2.6,0.6,88,"faint, pretty large, double or binary nucleus, 6th magnitude star 4 arcmin to northeast","F, pL, D or biN, * 6 nf 4'"
NGC170,,,*,,Gxy,E-S0,¾¨Óã×ù,CET,0h36m45.9s,0.61275,+1h53m11s,1.886388889,14.4,15.4,1,12.4,0.4,0.3,79,"faint, small, round","F, S, R"
NGC171,,,*,,Gxy,SBab,¾¨Óã×ù,CET,0h37m21.5s,0.622638889,-19h56m4s,-19.93444444,12.2,12.9,0.7,13.5,2.1,1.9,,"very faint, pretty large, a little extended, 2 pretty bright stars to southeast","vF, pL, lE, 2 pB st sf"
NGC172,,,*,,Gxy,SBbc,¾¨Óã×ù,CET,0h37m13.6s,0.620444444,-22h35m12s,-22.58666667,13.4,14,0.6,12.9,2,0.3,12,"extremely faint, small, extended","eF, S, E"
NGC173,,,*,,Gxy,Sc,¾¨Óã×ù,CET,0h37m12.4s,0.620111111,+1h56m32s,1.942222222,13,13.7,0.7,15.2,3.2,2.6,90,"very faint, small, round, very gradually brighter middle, 11th magnitude star 80 arcsec to southwest","vF, S, R, vgbM, * 11 sp 80"""
NGC174,,,*,,Gxy,SB0-a,Óñ·ò×ù,SCL,0h36m58.8s,0.616333333,-29h28m40s,-29.47777778,12.9,13.8,0.9,12.6,1.4,0.6,152,"extremely faint, small, very little extended, among bright stars","eF, S, vlE, am B st"
NGC175,,,*,,Dup,SBab,¾¨Óã×ù,CET,0h37m21.5s,0.622638889,-19h56m4s,-19.93444444,12.2,12.9,0.7,13.5,2.1,1.9,,"very faint, pretty large, a little extended, 2 pretty bright stars to southeast","pB, pL, E, gbM, r"
NGC176,,,*,,OCL,OCL,¶Å¾é×ù,TUC,0h35m58.8s,0.599666667,-73h9m58s,-73.16611111,12.7,,,,1,,,"extremely faint, small, very little extended, mottled but not resolved, 8th magnitude star near","eF, S, vlE, r, * 8 nr"
NGC177,,,*,,Gxy,Sab,¾¨Óã×ù,CET,0h37m34.3s,0.626194444,-22h32m57s,-22.54916667,13.3,14.1,0.8,13.3,2.2,0.5,11,"extremely faint, small, extended 175¡ã (perhaps a star?)","eF, S, E 175¡ã (? *)"
NGC178,,,*,,Gxy,Sb/P,¾¨Óã×ù,CET,0h39m8.4s,0.652333333,-14h10m20s,-14.17222222,12.6,13.1,0.5,13.2,2.1,0.9,178,"faint, small, much extended 0¡ã, brighter middle","F, S, mE 0¡ã, bM"
NGC179,,,*,,Gxy,E-S0,¾¨Óã×ù,CET,0h37m46.3s,0.629527778,-17h51m0s,-17.85,13.3,14.2,0.9,12.8,0.9,0.7,113,"extremely faint, extremely small, round, bright star to northwest","eF, eS, R, B * np"
NGC180,,,*,,Gxy,SBbc,Ë«Óã×ù,PSC,0h37m57.7s,0.632694444,+8h38m5s,8.634722222,12.9,13.7,0.8,13.7,1.9,1.3,160,"very faint, pretty large, irregularly round, star involved to northwest","vF, pL, iR, * np inv"
NGC181,,,*,,Gxy,S?,ÏÉÅ®×ù,AND,0h38m23.3s,0.639805556,+29h28m24s,29.47333333,14.9,15.8,0.9,12.6,0.7,0.2,147,"extremely faint, extremely small, irregular, very faint star attached","eF, eS, irr, vF * att"
NGC182,,,*,,Gxy,SBa,Ë«Óã×ù,PSC,0h38m12.4s,0.636777778,+2h43m43s,2.728611111,12.4,13.3,0.9,13.6,1.9,1.6,75,"very faint, small, irregularly round, very gradually brighter middle.","vF, S, iR, vgbM"
NGC183,,,*,,Gxy,E4,ÏÉÅ®×ù,AND,0h38m29.3s,0.641472222,+29h30m42s,29.51166667,12.7,13.7,1,14.1,1.7,1.1,130,"pretty faint, very small, round, gradually brighter middle","pF, vS, R, gbM"
NGC184,,,*,,Gxy,S0,ÏÉÅ®×ù,AND,0h38m35.8s,0.643277778,+29h26m51s,29.4475,14.7,15.7,1,12.4,0.7,0.2,5,"extremely faint, extremely small","eF, eS"
NGC185,,,*,,Gxy,E3,ÏÉºó×ù,CAS,0h38m57.6s,0.649333333,+48h20m14s,48.33722222,9.2,10.1,0.9,14.4,8,7,35,"pretty bright, very large, irregularly round, very gradually much brighter middle, mottled but nor resolved","pB, vL, iR, vgmbM, r"
NGC186,,,*,,Gxy,SB0-a,Ë«Óã×ù,PSC,0h38m25.2s,0.640333333,+3h9m58s,3.166111111,13.4,14.3,0.9,13.4,1.4,0.8,23,"faint, small, round, a little brighter middle","F, S, R, lbM"
NGC187,,,*,,Gxy,Sc,¾¨Óã×ù,CET,0h39m30.2s,0.658388889,-14h39m23s,-14.65638889,13.2,13.9,0.7,12.6,1.3,0.5,148,"faint, small, much extended 150¡ã, brighter middle","F, S, mE 150¡ã, bM"
NGC188,,,*,½ü¼«ÐÇÍÅ,OCL,II2r,ÏÉÍõ×ù,CEP,0h47m30s,0.791666667,+85h15m30s,85.25833333,8.1,,,,15,,,"a cluster, very large, round, 150-200 stars from 10th to 18th magnitude","Cl, vL, R, 150-200 st 10¡­18"
NGC189,,,*,,OCL,III2p,ÏÉºó×ù,CAS,0h39m35.6s,0.659888889,+61h5m42s,61.095,8.8,,,,5,,,"a cluster, pretty large, round, stars from 11th to 15th magnitude","Cl, pL, R, st 11¡­15"
NGC190,,,*,,Gxy,Sab,Ë«Óã×ù,PSC,0h38m54.7s,0.648527778,+7h3m44s,7.062222222,14,14.8,0.8,13.4,0.9,0.8,135,"very faint, small, a little extended, several stars near to southwest","vF, S, lE, sev st nr sp"
NGC191,,,*,,Gxy,SBc/P,¾¨Óã×ù,CET,0h38m59.2s,0.649777778,-9h0m10s,-9.002777778,12.5,13.2,0.7,12.8,1.4,1.2,128,"pretty bright, pretty large, irregularly extended 0¡ã","pB, pL, iE 0¡ã"
NGC192,,,*,,Gxy,SBa,¾¨Óã×ù,CET,0h39m13.5s,0.65375,+0h51m51s,0.864166667,12.6,13.4,0.8,13,1.9,0.9,167,"faint, pretty small, pretty much extended, brighter middle","F, pS, pmE, bM"
NGC193,,,*,,Gxy,E/SB0,Ë«Óã×ù,PSC,0h39m18.5s,0.655138889,+3h19m52s,3.331111111,12.3,13.3,1,12.7,1.4,1.2,55,"faint, large, western of 2, 15th magnitude star close to southwest","F, L, p of 2, * 15 close sp"
NGC194,,,*,,Gxy,E1,Ë«Óã×ù,PSC,0h39m18.3s,0.655083333,+3h2m15s,3.0375,12.2,13.2,1,13,1.6,1.4,30,"pretty bright, small, round, very gradually brighter middle","pB, S, R, vgbM"
NGC195,,,*,,Gxy,SBa,¾¨Óã×ù,CET,0h39m35.7s,0.659916667,-9h11m39s,-9.194166667,13.7,14.6,0.9,13.6,1.2,0.9,45,faint.,F
NGC196,,,*,,Gxy,SB0,¾¨Óã×ù,CET,0h39m17.8s,0.654944444,+0h54m47s,0.913055556,12.9,13.8,0.9,12.8,1.3,0.8,3,"faint, pretty small, round, pretty suddenly much brighter middle","F, pS, R, psmbM"
NGC197,,,*,,Gxy,S0,¾¨Óã×ù,CET,0h39m18.7s,0.655194444,+0h53m33s,0.8925,14.1,14.8,0.7,14,0.7,0.7,,"extremely faint, south of h 41","eF, s of h 41"
NGC198,,,*,,Gxy,Sc,Ë«Óã×ù,PSC,0h39m22.9s,0.656361111,+2h47m54s,2.798333333,13.2,13.9,0.7,13.4,1.2,1.2,,"faint, small, very gradually brighter middle","F, S, vgbM"
NGC199,,,*,,Gxy,S0,Ë«Óã×ù,PSC,0h39m33.1s,0.659194444,+3h8m17s,3.138055556,13.6,14.6,1,13.3,1.2,0.7,160,"faint, very small, 8th magnitude star 27 seconds of time to west and 45 arcsec to south","F, vS, * 8 p 27s, 45"" s"
NGC200,,,*,,Gxy,SBbc,Ë«Óã×ù,PSC,0h39m34.7s,0.659638889,+2h53m13s,2.886944444,12.6,13.5,0.9,13.1,1.7,1,161,"pretty bright, small, very gradually brighter middle","pB, S, vgbM"
